id,Nombre,Grupo de alimento,Marca,Cantidad,Unidad,Calorias,Proteinas,Carbohidratos,Grasas,Fibra,vitA,vitB1,vitB2,vitB3,vitB5,vitB6,vitB9,vitB12,vitC,vitD,vitE,vitK,choline,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,water,cholesterol,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,glycemicIndex,tiene_micros,es_duplicado,momento_sugerido,comments,usar_en_generador
,Muslo de pavo,Aves,,100,gr,102.73,20.4,0.0,2.4,,,50.0,210.0,2.7,1.2,370.0,11.0,0.4,,,,,,10.0,143.0,1.8,22.0,27.0,172.0,254.0,28.6,71.0,3.0,76.6,84.0,0.8,0.5,0.7,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Muslo de pollo,Aves,,100,gr,114.81,20.1,0.0,3.8,,61.0,79.0,193.0,6.1,1.2,330.0,10.0,0.4,,5.0,320.0,2.9,61.8,11.0,64.0,1.0,23.0,21.0,167.0,229.0,13.5,86.0,2.1,76.1,80.0,1.0,1.2,1.0,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Pavo a tacos,Aves,Hacendado,100,gr,118.0,20.7,0.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Pechuga de pavo,Aves,,100,gr,104.25,24.6,0.0,0.7,,,41.0,118.0,6.3,717.0,580.0,8.0,0.5,,,,,,10.0,116.0,1.2,28.0,21.0,206.0,293.0,24.4,49.0,1.2,74.1,62.0,0.2,0.1,0.2,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Pechuga de pollo,Aves,,100,gr,108.23,22.0,0.0,1.8,,30.0,64.0,100.0,10.4,1.4,749.0,4.0,0.2,1.2,5.0,190.0,0.2,73.4,5.0,27.0,370.0,26.0,15.0,210.0,370.0,32.0,116.0,580.0,75.8,64.0,0.6,0.8,0.4,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Alitas de pollo,Aves,,100,gr,217.0,18.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Pavo fiambre,Embutidos y charcutería,Hacendado,100,gr,78.0,17.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Pollo troceado,Aves,Hacendado,100,gr,189.0,19.0,0.7,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Tiras de pollo,Aves,Hacendado,100,gr,107.0,23.4,0.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Coconut natural - sin azúcar añadida,Alternativas vegetales,Alpro,100,gr,83.0,0.6,5.0,6.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Azúcar,"Azúcares, siropes y edulcorantes",,100,gr,392.84,0.1,98.1,0.0,,,,,110.0,132.0,41.0,1.0,,,,,,2.3,83.0,47.0,710.0,9.0,64.0,4.0,133.0,1.2,28.0,30.0,1.3,,,,,97.0,True,False,"Desayuno, Media mañana / merienda",60.0 | Fuente: base original de Alzum.,True
,Edulcorante,"Azúcares, siropes y edulcorantes",,100,gr,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,False
,Froot Loops Bajo en azúcar,"Azúcares, siropes y edulcorantes",,100,gr,272.0,6.0,53.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Miel de Romero,"Azúcares, siropes y edulcorantes",Hacendado,100,gr,333.0,0.5,83.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Miel de abeja,"Azúcares, siropes y edulcorantes",,100,gr,342.4,0.0,85.6,0.0,,,,,,,,,,1.3,,,,,26.0,,0.4,,,10.0,,,,0.2,14.1,,,,,,True,False,"Desayuno, Media mañana / merienda",0 | Fuente: base original de Alzum.,True
,Sirope Maple,"Azúcares, siropes y edulcorantes",,100,gr,300.0,0.0,70.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Stevia,"Azúcares, siropes y edulcorantes",,100,gr,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Té sin azúcar,Bebidas no alcohólicas,,100,gr,0.92,0.1,0.2,0.0,,,,,,,,,,,,,,,3.0,,0.2,,,1.0,,,,,99.6,,,,,,True,False,"Desayuno, Media mañana / merienda",0 | Fuente: base original de Alzum.,True
,Dextrosa (glucosa),"Azúcares, siropes y edulcorantes",,100,gr,400.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,False,False,"Desayuno, Media mañana / merienda",100.0 | Fuente: base original de Alzum.,True
,Chicha de jora,Bebidas alcohólicas,,100,gr,27.5,0.4,5.8,0.3,,,,,,,,,,2.4,,,,,22.0,,1.8,,,18.0,,,,,93.2,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,False
,Agua con gas,Bebidas no alcohólicas,,100,gr,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,False
,Bio Ginger Shot,Bebidas no alcohólicas,,1,ud,52.5,0.8,11.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Café con leche,Bebidas no alcohólicas,,100,gr,22.0,1.5,2.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Café con leche (con azúcar),Bebidas no alcohólicas,,1,tz,70.78,1.6,12.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Café con leche sin azúcar,Bebidas no alcohólicas,,1,tz,31.0,1.6,2.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Café molido,Bebidas no alcohólicas,,100,gr,357.0,14.3,57.1,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Café sin azúcar,Bebidas no alcohólicas,,100,gr,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Coca Cola,Bebidas no alcohólicas,,100,gr,42.0,0.0,10.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,89.5,,,,,,False,False,,0 | Fuente: base original de Alzum.,True
,Hielo,Bebidas no alcohólicas,,1,ud,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Inca Kola,Bebidas no alcohólicas,,100,gr,44.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,False,False,,0 | Fuente: base original de Alzum.,True
,Jugo de Limón,Bebidas no alcohólicas,,100,gr,42.6,0.5,9.7,0.2,,,,,,,,,,44.2,,,,,18.0,,0.5,,,14.0,,,,0.1,89.3,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Jugo puro de Maracuyá,Bebidas no alcohólicas,,100,gr,68.9,0.9,16.1,0.1,,,,,,,,,,22.0,,,,,13.0,,3.0,,,30.0,,,,0.1,82.3,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Té Chai,Bebidas no alcohólicas,,100,gr,64.0,0.9,11.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Té negro (bolsita),Bebidas no alcohólicas,,1,ud,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Té verde,Bebidas no alcohólicas,,100,gr,1.0,0.0,0.2,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Jugo de Naranja,Bebidas no alcohólicas,,100,gr,36.6,0.5,8.2,0.2,,,,,,,,,,42.0,,,,,31.0,,0.2,,,9.0,,,,0.1,90.7,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Jugo de piña,Bebidas no alcohólicas,,100,gr,54.0,0.4,12.9,0.1,0.2,5.0,58.0,21.0,199.0,56.0,100.0,18.0,,10.0,,20.0,0.3,3.3,13.0,69.0,310.0,12.0,504.0,8.0,130.0,0.1,2.0,110.0,86.4,,,,,10.0,True,False,,46.0 | Fuente: base original de Alzum.,True
,Jugo de uva,Bebidas no alcohólicas,,100,gr,61.73,0.4,14.8,0.1,0.2,8.0,17.0,15.0,133.0,48.0,32.0,,,100.0,,,0.4,3.2,11.0,18.0,250.0,10.0,239.0,14.0,104.0,,5.0,70.0,84.5,,,,,14.2,True,False,,55.0 | Fuente: base original de Alzum.,True
,Cacao en polvo,"Azúcares, siropes y edulcorantes",,100,gr,433.3,19.6,57.9,13.7,33.2,,78.0,241.0,2.2,254.0,118.0,32.0,,,,100.0,2.5,12.0,128.0,3.8,13.9,499.0,3.8,734.0,1.5,14.3,21.0,6.8,3.0,,8.1,4.6,0.4,1.8,True,False,"Desayuno, Media mañana / merienda",20.0 | Fuente: base original de Alzum.,True
,Cacao en polvo Opti-Start,"Bollería, repostería y galletas",Nesquik,14,gr,50.0,0.6,11.0,0.4,0.9,114.0,0.2,0.4,,,0.3,,0.3,6.7,1.5,0.8,,,3.9,,2.1,39.0,,27.0,112.0,,28.0,1.1,,,0.2,,,,True,False,"Desayuno, Media mañana / merienda",0 | Fuente: base original de Alzum.,True
,Cacao instantáneo,"Azúcares, siropes y edulcorantes",Hacendado,100,gr,368.0,4.9,80.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Cacao nibs,"Bollería, repostería y galletas",,100,gr,480.0,9.2,42.4,44.8,13.4,,,,,,,,,,,,,,,,0.7,1.5,,,8.7,,0.1,,,,,,,,True,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Cacao puro 100% desgrasado en polvo,"Bollería, repostería y galletas",,100,gr,321.0,27.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,False,False,"Desayuno, Media mañana / merienda",Sin azúcares añadidos | Fuente: base original de Alzum.,True
,Chancay (bizcocho),"Bollería, repostería y galletas",,100,gr,354.9,8.8,64.4,6.9,,,,,,,,,,,,,,,47.0,,1.0,,,108.0,,,,,19.4,,,,,,True,False,"Desayuno, Media mañana / merienda",0 | Fuente: base original de Alzum.,True
,Choco gotas,"Bollería, repostería y galletas",Hacendado,100,gr,501.0,6.0,59.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Chocolate 99%,"Bollería, repostería y galletas",Hacendado,100,gr,610.0,15.0,8.0,54.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.2,,,,34.0,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Chocolate oscuro 45-59% de cacao,"Bollería, repostería y galletas",,100,gr,545.72,4.9,61.2,31.3,7.0,50.0,25.0,50.0,725.0,297.0,42.0,,0.2,,,540.0,8.1,,56.0,1.0,8.0,146.0,1.4,206.0,559.0,3.0,24.0,2.0,1.0,8.0,18.5,9.5,1.1,47.9,True,False,"Desayuno, Media mañana / merienda",30.0 | Fuente: base original de Alzum.,True
,Chocolate oscuro 60-69% de cacao,"Bollería, repostería y galletas",,100,gr,578.95,6.1,52.4,38.3,8.0,50.0,32.0,49.0,838.0,300.0,34.0,,0.2,,,590.0,7.2,,62.0,1.2,6.3,176.0,1.3,260.0,567.0,8.4,10.0,2.7,1.3,6.0,22.0,11.5,1.2,36.7,True,False,"Desayuno, Media mañana / merienda",30.0 | Fuente: base original de Alzum.,True
,Chocolate oscuro 70-85% de cacao,"Bollería, repostería y galletas",,100,gr,598.43,7.8,45.9,42.6,10.9,39.0,34.0,78.0,1.1,418.0,38.0,,0.3,,,590.0,7.3,,73.0,1.8,11.9,228.0,1.9,308.0,715.0,6.8,20.0,3.3,1.4,3.0,24.5,12.8,1.3,24.0,True,False,"Desayuno, Media mañana / merienda",30.0 | Fuente: base original de Alzum.,True
,Croissant,"Bollería, repostería y galletas",,100,gr,406.0,8.0,46.0,21.0,,,,,,,,,,,,,,,,,,,,,0.1,,0.4,,,,12.0,6.0,1.1,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Galleta de vainilla (Dulce),"Bollería, repostería y galletas",,100,gr,437.9,6.0,74.9,12.7,,,,,,,,,,,,,,,22.0,,0.6,,,665.0,,,,0.6,4.8,,,,,,True,False,"Desayuno, Media mañana / merienda",0 | Fuente: base original de Alzum.,True
,Galletas Crackers de salvado sin sal,"Bollería, repostería y galletas",,30,gr,130.5,3.5,19.0,4.5,0.9,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,False,False,"Desayuno, Media mañana / merienda",0 | Fuente: base original de Alzum.,True
,Brownies,"Bollería, repostería y galletas",,100,gr,421.5,4.8,63.9,16.3,2.1,69.0,255.0,210.0,1.7,547.0,35.0,47.0,0.1,,,150.0,6.5,10.0,29.0,224.0,2.3,31.0,128.0,101.0,149.0,6.3,312.0,720.0,13.6,17.0,4.2,9.0,2.3,36.6,True,False,"Desayuno, Media mañana / merienda",43.0 | Fuente: base original de Alzum.,True
,Chocolate Special K de (cereales,"Bollería, repostería y galletas",Kellogg,100,gr,407.07,5.7,83.3,5.7,3.4,2.4,1.7,1.9,22.6,551.0,2.3,452.0,6.8,67.7,129.0,260.0,1.2,14.4,41.0,200.0,26.1,46.0,1.2,127.0,242.0,18.2,581.0,1.2,3.0,4.0,4.9,0.1,0.1,30.3,True,False,"Desayuno, Media mañana / merienda",69.0 | Fuente: base original de Alzum.,True
,Pastel de salmón,Pescados,,100,gr,265.0,10.1,17.0,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,"Desayuno, Media mañana / merienda",Fuente: base original de Alzum.,True
,Albóndigas,Carnes y productos cárnicos,,100,gr,197.0,21.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Albóndigas,Carnes y productos cárnicos,Meatprotein,100,gr,121.8,18.8,2.2,4.2,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.8,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Bazo de Res,Carnes y productos cárnicos,,100,gr,86.4,18.9,0.0,1.2,,,,,,,,,,10.1,,,,,7.0,,28.7,,,161.0,,,,2.1,78.1,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
