id,Nombre,Grupo de alimento,Marca,Cantidad,Unidad,Calorias,Proteinas,Carbohidratos,Grasas,Fibra,vitA,vitB1,vitB2,vitB3,vitB5,vitB6,vitB9,vitB12,vitC,vitD,vitE,vitK,choline,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,water,cholesterol,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,glycemicIndex,tiene_micros,es_duplicado,momento_sugerido,comments,usar_en_generador
,Frijoles pequeños blancos,Legumbres,,100,gr,344.06,21.1,62.3,1.2,24.9,,743.0,207.0,1.3,729.0,439.0,386.0,,,,,,,173.0,635.0,7.7,183.0,1.3,445.0,1.5,12.8,12.0,2.8,11.7,,0.3,0.1,0.5,,True,False,Comida / cena,30.0 | Fuente: base original de Alzum.,True
,Habas,Legumbres,,100,gr,345.57,21.5,63.4,0.7,19.0,,507.0,202.0,1.5,1.4,512.0,395.0,,,,720.0,6.0,96.7,81.0,740.0,7.5,224.0,1.7,385.0,1.7,7.2,18.0,2.8,10.2,,0.2,0.1,0.3,8.5,True,False,Comida / cena,30.0 | Fuente: base original de Alzum.,True
,Mungo granos,Legumbres,,100,gr,351.56,25.2,59.0,1.6,18.3,23.0,273.0,254.0,1.4,906.0,281.0,216.0,,,,,,,138.0,981.0,7.6,267.0,1.5,379.0,983.0,8.2,38.0,3.4,10.8,,0.1,0.1,1.1,,True,False,Comida / cena,30.0 | Fuente: base original de Alzum.,True
,Actimel 0%,Lácteos,,100,gr,33.0,3.0,3.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Burrata,Lácteos,Hacendado,100,gr,243.0,14.0,1.7,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Colacao 0%,Lácteos,,100,gr,324.0,12.0,44.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Crema de leche,Lácteos,,100,gr,167.0,0.0,6.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,GoPro,Lácteos,Danone,100,gr,58.0,8.3,5.3,0.4,,,,,,,,,,,,,,,171.0,,,,,,,,,,,,0.2,,,,False,False,,Fuente: base original de Alzum.,True
,Kéfir cabra/oveja 0%,Lácteos,,100,gr,35.0,4.5,3.7,0.0,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Leche condensada,Lácteos,,100,gr,329.2,7.9,53.7,9.2,,,,,,,,,,,,,,,276.0,,0.1,,,107.0,,,,0.9,27.2,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Leche de coco,Alternativas vegetales,Hacendado,100,gr,165.0,0.5,2.9,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Leche desnatada,Lácteos,Hacendado,100,gr,35.0,3.2,4.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Leche en polvo descremada,Lácteos,,100,gr,359.49,36.2,52.0,0.8,,,,,,,,,,6.8,,,,,1257.0,,1.2,,,968.0,,,,4.1,3.2,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Leche en polvo entera,Lácteos,,100,gr,487.3,27.0,36.1,26.1,,,,,,,,,,9.0,,,,,848.0,,0.2,,,888.0,,,,3.3,3.9,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Leche evaporada descremada,Lácteos,,100,gr,78.5,7.1,10.5,0.9,,,,,,,,,,13.0,,,,,,,,,,,,,,,80.0,,,,,,False,False,,0 | Fuente: base original de Alzum.,True
,Leche fresca de vaca,Lácteos,,100,gr,63.5,3.1,4.9,3.5,,,,,,,,,,0.5,,,,,106.0,,1.3,,,94.0,,,,0.4,87.8,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Leche semi sin lactosa,Lácteos,Hacendado,100,gr,44.0,3.0,4.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Mozzarella light,Lácteos,Hacendado,100,gr,153.0,17.0,1.0,9.3,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,6.0,,,0.8,False,False,,"[Corregido: el registro original era incoherente.] Grasa 0,9 -> 9,3 g (las saturadas ya eran 6 g). Fuente: base original de Alzum.",True
,Nata de Montar,Lácteos,Hacendado,100,gr,335.0,2.0,3.1,35.0,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Nata ligera,Lácteos,Hacendado,100,gr,163.0,2.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,10.0,,,,False,False,,Fuente: base original de Alzum.,True
,Nesquik,"Azúcares, siropes y edulcorantes",Nesquik,100,gr,386.0,5.1,78.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso para montar,Lácteos,Philadelphia,100,gr,342.0,6.0,4.1,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso Azul,Lácteos,Hacendado,100,gr,341.0,20.0,0.5,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,False,False,,Fuente: base original de Alzum.,True
,Queso Port Salut Light (La Serenísima),Lácteos,,100,gr,218.0,27.0,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0 | Fuente: base original de Alzum.,True
,Queso Rancheo CARRANCO,Lácteos,,100,gr,227.0,18.0,1.8,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso cabra lonchas,Lácteos,,100,gr,389.0,20.0,0.7,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,False,False,,Fuente: base original de Alzum.,True
,Queso cottage,Lácteos,,100,gr,96.7,11.1,3.4,4.3,,140.0,27.0,163.0,99.0,557.0,46.0,12.0,0.4,,3.0,80.0,,18.4,83.0,29.0,70.0,8.0,2.0,159.0,104.0,9.7,364.0,400.0,79.8,17.0,1.7,0.8,0.1,2.7,True,False,,30.0 | Fuente: base original de Alzum.,True
,Queso cottage sin grasa,Lácteos,,100,gr,70.61,10.3,6.7,0.3,,8.0,23.0,226.0,144.0,446.0,16.0,9.0,0.5,,,10.0,,17.9,86.0,30.0,150.0,11.0,22.0,190.0,137.0,9.4,330.0,470.0,81.0,7.0,0.2,0.1,,1.9,True,False,,30.0 | Fuente: base original de Alzum.,True
,Queso curado,Lácteos,Entrepinares,100,gr,418.0,24.0,1.7,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso de oveja,Lácteos,Entrepinares,100,gr,374.0,21.0,0.6,32.0,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,22.0,,,,False,False,,Fuente: base original de Alzum.,True
,Queso de untar,Lácteos,,100,gr,290.0,16.0,8.7,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso fresco batido 0%,Lácteos,Hacendado,100,gr,46.0,8.0,3.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso fresco burgos desnatado,Lácteos,Hacendado,100,gr,68.0,12.3,4.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso fresco cabra (el faro),Lácteos,,100,gr,298.0,19.8,1.1,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso fresco de vaca,Lácteos,,100,gr,264.1,17.5,3.3,20.1,,,,,,,,,,,,,,,783.0,,1.3,,,375.0,,,,,55.0,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Queso fresco vaca,Lácteos,Hacendado,100,gr,170.0,11.8,5.4,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso lonchas light,Lácteos,,100,gr,187.0,16.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso manchego,Lácteos,,100,gr,435.0,2.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso mantecoso,Lácteos,,100,gr,395.2,28.0,3.3,30.0,,,,,,,,,,,,,,,1076.0,,1.5,,,517.0,,,,,33.5,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Queso mozzarella bajo en grasa,Lácteos,,100,gr,251.4,24.3,2.8,15.9,,481.0,18.0,303.0,105.0,79.0,70.0,9.0,0.8,,12.0,140.0,1.6,15.4,782.0,25.0,220.0,23.0,10.0,463.0,84.0,14.4,619.0,2.8,53.8,64.0,10.1,4.5,0.5,1.1,True,False,,0.0 | Fuente: base original de Alzum.,True
,Queso parmesano duro,Lácteos,,100,gr,436.3,39.1,1.8,30.3,,,,,,,,,,,,,,,1260.0,,0.6,,,393.0,,,,2.8,22.2,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Queso parmesano rallado,Lácteos,,100,gr,402.0,32.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso port salut light (sancor),Lácteos,,100,gr,208.0,25.0,0.0,12.0,,400.0,,,,,,,,,3.3,,,,700.0,,,,,,,,,,,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Queso semicurado,Lácteos,Entrepinares,100,gr,422.0,24.0,0.6,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Queso viejo tostado,Lácteos,Entrepinares,100,gr,474.0,27.0,1.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Yogur de cabra,Lácteos,,100,gr,77.0,4.1,4.2,4.9,,,,,,,,,,,,,,,143.0,,,,,,,,0.1,,,,3.4,,,4.2,False,False,,Fuente: base original de Alzum.,True
,Yogur GRIEGO,Lácteos,Hacendado,125,gr,176.0,5.0,14.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Yogur de frutilla (Ser),Lácteos,,200,ml,60.4,6.2,8.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0 | Fuente: base original de Alzum.,True
,Yogur frutado leche descremada,Lácteos,,100,gr,95.4,4.4,19.0,0.2,,,,,,,,,,0.7,,,,,152.0,,0.1,,,119.0,,,,0.7,75.4,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Yogur griego Stracciatella (Milbona),Lácteos,,100,gr,148.0,2.4,15.4,8.2,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,5.4,,,,False,False,,Fuente: base original de Alzum.,True
,Yogur natural,Lácteos,,100,gr,61.77,3.5,4.7,3.3,,,,,,,,,,0.5,,,,,121.0,,0.1,,,95.0,,,,0.6,87.9,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Yogur natural con coco,Lácteos,Alpro,100,gr,55.0,3.9,2.3,3.0,0.8,,,,,,,,,,,,,,,,,,,,,,0.3,,,,1.1,,,,False,False,,Fuente: base original de Alzum.,True
,Yogur proteico,Lácteos,Hacendado,100,gr,52.0,10.0,3.1,0.5,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.1,,,,False,False,,Fuente: base original de Alzum.,True
,Yogur sin grasa,Lácteos,,100,gr,55.26,5.7,7.7,0.2,,7.0,48.0,234.0,124.0,641.0,53.0,12.0,0.6,900.0,,,0.2,15.2,199.0,15.0,90.0,19.0,5.0,157.0,255.0,3.6,77.0,970.0,85.2,2.0,0.1,,,7.7,True,False,,30.0 | Fuente: base original de Alzum.,True
,Yogur soja,Lácteos,Hacendado,100,gr,43.0,4.6,0.0,2.7,0.3,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.4,,,,False,False,,Fuente: base original de Alzum.,True
,Yogur natural leche descremada,Lácteos,,100,gr,55.26,5.7,7.7,0.2,,,,,,,,,,0.9,,,,,199.0,,0.1,,,157.0,,,,1.0,85.2,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Lactosa,Lácteos,,100,gr,400.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,False,False,,45.0 | Fuente: base original de Alzum.,True
,Leche condensada,Lácteos,Nestlé,100,gr,325.0,7.5,55.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Leche sin grasa (desnatada),Lácteos,,100,gr,34.04,3.4,5.0,0.1,,15.0,45.0,182.0,94.0,357.0,37.0,5.0,0.5,,,10.0,,15.6,122.0,13.0,30.0,11.0,3.0,101.0,156.0,3.1,42.0,420.0,90.8,2.0,0.1,,,5.1,True,False,,33.0 | Fuente: base original de Alzum.,True
,Nachos con queso,Lácteos,,100,gr,311.73,8.1,32.2,16.8,,495.0,170.0,330.0,1.4,1.2,180.0,9.0,0.7,1.1,,,,26.4,241.0,124.0,1.1,49.0,198.0,244.0,152.0,13.9,722.0,1.6,40.5,16.0,6.9,7.1,2.0,,True,False,,55.0 | Fuente: base original de Alzum.,True
,"Quark, sin grasa (requesón, queso fresco)",Lácteos,,100,gr,62.7,12.0,3.0,0.3,,41.0,21.0,165.0,128.0,215.0,68.0,12.0,1.0,,,10.0,,,61.0,28.0,140.0,5.0,3.0,134.0,86.0,9.0,406.0,380.0,81.0,7.0,0.3,,,3.0,True,False,,30.0 | Fuente: base original de Alzum.,True
,"Queso cottage, 1% de grasa",Lácteos,,100,gr,69.62,12.4,2.7,1.0,,41.0,21.0,165.0,128.0,215.0,68.0,12.0,0.6,,,10.0,0.1,17.5,61.0,28.0,140.0,5.0,3.0,134.0,86.0,9.0,406.0,380.0,82.5,4.0,0.6,0.3,,2.7,True,False,,30.0 | Fuente: base original de Alzum.,True
,"Queso mozarella, la grasa",Lácteos,,100,gr,298.59,22.2,2.2,22.4,,676.0,30.0,283.0,104.0,141.0,37.0,7.0,2.3,,16.0,190.0,2.3,15.4,505.0,11.0,440.0,20.0,30.0,354.0,76.0,17.0,627.0,2.9,50.0,79.0,13.2,6.6,0.8,1.0,True,False,,0.0 | Fuente: base original de Alzum.,True
,"Calamar (Inkfish, sepia)","Mariscos, crustáceos y moluscos",,100,gr,87.06,15.6,3.1,1.4,,33.0,20.0,412.0,2.2,500.0,56.0,5.0,1.3,4.7,,1.2,,65.0,32.0,1.9,680.0,33.0,35.0,221.0,246.0,44.8,44.0,1.5,78.6,233.0,0.4,0.1,0.5,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Calamar índico,"Mariscos, crustáceos y moluscos",,100,gr,76.0,16.0,0.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Camarones,"Mariscos, crustáceos y moluscos",,100,gr,100.45,20.3,0.9,1.7,,180.0,28.0,34.0,2.6,276.0,104.0,3.0,1.2,2.0,,1.1,,80.9,52.0,264.0,2.4,37.0,50.0,205.0,185.0,38.0,148.0,1.1,75.9,152.0,0.3,0.3,0.7,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Cangrejo en lata,"Mariscos, crustáceos y moluscos",,100,gr,93.15,20.5,0.0,1.2,,7.0,80.0,84.0,1.4,360.0,150.0,43.0,0.5,2.7,,1.8,0.1,33.6,101.0,760.0,840.0,39.0,190.0,260.0,374.0,31.8,333.0,4.0,76.2,89.0,0.3,0.2,0.4,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Crema de marisco,"Mariscos, crustáceos y moluscos",Hacendado,100,gr,36.0,1.8,3.7,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.3,,,,False,False,Comida / cena,Platos de cuchara | Fuente: base original de Alzum.,True
,Langostino cocido,"Mariscos, crustáceos y moluscos",Hacendado,100,gr,98.0,22.2,0.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Langostino congelado (pescanova),"Mariscos, crustáceos y moluscos",,100,gr,68.0,14.0,0.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Navajas al natural,"Mariscos, crustáceos y moluscos",,100,gr,96.0,18.2,2.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,"Calamar frito (Inkfish, sepia)","Mariscos, crustáceos y moluscos",,100,gr,170.24,17.9,7.8,7.5,,35.0,56.0,458.0,2.6,510.0,58.0,14.0,1.2,4.2,,,,,39.0,2.1,1.0,38.0,70.0,251.0,279.0,51.8,306.0,1.7,64.5,260.0,1.9,2.7,2.1,,True,False,Comida / cena,20.0 | Fuente: base original de Alzum.,True
,Cangrejo,"Mariscos, crustáceos y moluscos",,100,gr,82.12,18.1,0.0,1.1,,5.0,80.0,40.0,2.7,350.0,150.0,44.0,9.0,3.0,,,,,89.0,669.0,740.0,34.0,150.0,229.0,329.0,37.4,293.0,3.5,79.0,78.0,0.2,0.2,0.4,,True,False,Comida / cena,0.0 | Fuente: base original de Alzum.,True
,Arepa de maíz,Pan y pasta,,100,gr,158.0,3.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,arepa goya | Fuente: base original de Alzum.,True
,Arepa de maíz blanco,Pan y pasta,El Dorado,100,gr,125.0,3.3,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Coditos cocidos,Pan y pasta,,100,gr,155.0,5.5,32.5,1.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Espaguetis Integral,Pan y pasta,Hacendado,100,gr,345.0,13.5,62.0,2.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Fajitas,Pan y pasta,Old El Paso,100,gr,227.0,6.7,41.1,3.6,1.5,,,,,,,,,,,,,,,,,,,,,,2.1,,,,0.8,,,,False,False,Comida / cena,"[Corregido: el registro original era incoherente.] Grasa 36 -> 3,6 g (coma desplazada). Fuente: base original de Alzum.",True
,Fideo crudo,Pan y pasta,,100,gr,350.2,9.4,77.7,0.2,,,,,,,,,,,,,,,24.0,,5.5,,,150.0,,,,1.3,12.1,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Fideo tallarín,Pan y pasta,,100,gr,317.3,9.5,69.6,0.1,,,,,,,,,,,,,,,40.0,,5.5,,,137.0,,,,1.3,20.4,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Harina de Habas,Pan y pasta,,100,gr,352.7,24.3,59.6,1.9,,,,,,,,,,4.7,,,,,67.0,,6.7,,,393.0,,,,3.1,11.9,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Harina de Quinua,Pan y pasta,,100,gr,348.2,9.1,72.1,2.6,,,,,,,,,,,,,,,181.0,,3.7,,,61.0,,,,,13.7,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Harina de trigo,Pan y pasta,,100,gr,357.1,10.3,74.7,1.9,,,,,,,,,,4.8,,,,,36.0,,3.9,,,314.0,,,,3.0,11.6,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Harina de trigo sarraceno,Pan y pasta,,100,gr,360.74,12.6,70.6,3.1,10.0,,417.0,190.0,6.2,440.0,582.0,54.0,,,,320.0,7.0,54.2,41.0,515.0,4.1,251.0,2.0,337.0,577.0,5.7,11.0,3.1,11.2,,0.7,0.9,0.9,2.6,True,False,Comida / cena,55.0 | Fuente: base original de Alzum.,True
,Macarrón pluma (la isleña),Pan y pasta,,100,gr,344.0,12.0,68.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Obleas,Pan y pasta,,100,gr,443.8,6.6,72.4,14.2,3.4,12.0,203.0,266.0,2.9,381.0,51.0,61.0,0.1,,,720.0,2.4,14.6,31.0,463.0,4.0,53.0,696.0,132.0,210.0,5.7,580.0,1.1,4.5,2.0,4.2,4.9,4.2,29.7,True,False,Comida / cena,75.0 | Fuente: base original de Alzum.,True
,Pan 100% integral,Pan y pasta,Hacendado,100,gr,230.0,10.0,38.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Pan Baguete,Pan y pasta,Hacendado,100,gr,281.0,9.4,61.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Pan,Pan y pasta,Bimbo,100,gr,245.0,12.0,37.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.7,,,,False,False,,Fuente: base original de Alzum.,True
,Pan blanco,Pan y pasta,,100,gr,262.61,7.6,50.6,3.3,2.4,,455.0,331.0,4.4,203.0,84.0,111.0,,,,220.0,3.1,14.6,151.0,253.0,3.7,23.0,478.0,99.0,100.0,17.3,681.0,740.0,36.4,,0.7,0.7,1.4,4.3,True,False,,74.0 | Fuente: base original de Alzum.,True
,Pan blanco sin corteza,Pan y pasta,,100,gr,223.0,8.3,41.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Pan de cebada,Pan y pasta,Serrano,100,gr,295.4,7.2,66.2,0.2,,,,,,,,,,,,,,,60.0,,6.5,,,224.0,,,,,24.4,,,,,,True,False,Comida / cena,0 | Fuente: base original de Alzum.,True
,Pan de labranza,Pan y pasta,,100,gr,328.3,9.6,71.8,0.3,,,,,,,,,,1.0,,,,,40.0,,1.6,,,107.0,,,,,17.3,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Pan de molde,Pan y pasta,,100,gr,326.5,6.8,69.2,2.5,,,,,,,,,,,,,,,13.0,,0.4,,,60.0,,,,0.7,20.8,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Pan de molde,Pan y pasta,La Santiagueña,50,gr,122.0,4.1,21.0,2.4,1.4,,,,,,,,,,,,,,,,,,,,,,296.0,,,,0.2,,,,False,False,,0 | Fuente: base original de Alzum.,True
,Pan de molde con corteza,Pan y pasta,Hacendado,100,gr,252.0,10.7,37.9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Pan de molde sin corteza,Pan y pasta,Hacendado,100,gr,224.0,9.6,34.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Pan francés,Pan y pasta,,100,gr,287.0,8.4,62.9,0.2,,,,,,,,,,1.0,,,,,35.0,,1.0,,,101.0,,,,0.7,27.0,,,,,,True,False,,0 | Fuente: base original de Alzum.,True
,Pan integral clasic,Pan y pasta,Carrefour,100,gr,237.0,10.0,40.0,2.8,5.7,,,,,,,,,,,,,,,,,,,,,,1.2,,,,0.7,,,,False,False,,Fuente: base original de Alzum.,True
,Pan molde sin corteza - integral (Unidad,Pan y pasta,Hacendado,1,gr,54.0,2.4,8.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Pan multi-grano,Pan y pasta,,100,gr,264.87,13.4,43.3,4.2,7.4,,279.0,131.0,4.0,336.0,263.0,75.0,,100.0,,370.0,1.4,26.5,103.0,282.0,2.5,78.0,2.0,228.0,230.0,32.9,420.0,1.7,36.9,,0.9,0.8,1.9,6.4,True,False,,60.0 | Fuente: base original de Alzum.,True
,Pan,Pan y pasta,Realfooding,100,gr,250.0,12.0,40.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Pan cristallino | Fuente: base original de Alzum.,True
,Pan tajado,Pan y pasta,,1,ud,63.0,2.1,11.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Pan tostado doble fibra,Pan y pasta,Bimbo,100,gr,437.0,13.3,80.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Pan tostado integral Espelta,Pan y pasta,Hacendado,100,gr,384.0,17.5,60.4,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Pasta cocida,Pan y pasta,,100,gr,178.0,6.1,34.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Picos integrales,Pan y pasta,Hacendado,100,gr,405.0,11.6,73.5,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Pita,Pan y pasta,Carrefour,100,gr,257.0,10.0,47.0,1.8,5.3,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Sazonador fajitas Tex Mex,Pan y pasta,Hacendado,100,gr,264.0,3.3,58.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Soft tortilla wraps fullkorn 370gr,Pan y pasta,,100,gr,289.0,9.3,46.3,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Tortilla de harina (mission),Pan y pasta,,100,gr,286.0,8.2,53.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Tostadas de Arroz Integral Inflado,Pan y pasta,,100,gr,375.0,8.3,83.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Cuscús,Pan y pasta,,100,gr,366.52,12.8,77.4,0.6,5.0,,163.0,78.0,3.5,1.2,110.0,20.0,,,,,,,24.0,247.0,1.1,44.0,780.0,170.0,166.0,,10.0,830.0,8.6,,0.1,0.1,0.3,,True,False,Comida / cena,62.0 | Fuente: base original de Alzum.,True
,Pan campeon del mundo,Pan y pasta,Hacendado,100,gr,241.0,8.3,36.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,Fuente: base original de Alzum.,True
,Panqueques,Pan y pasta,,100,gr,190.1,5.2,36.7,2.5,1.3,32.0,211.0,217.0,1.7,243.0,91.0,37.0,0.2,200.0,,,,19.2,126.0,94.0,1.6,20.0,272.0,334.0,175.0,13.5,628.0,390.0,53.0,12.0,0.5,0.9,0.8,,True,False,Comida / cena,70.0 | Fuente: base original de Alzum.,True
,Ñoquis,Pan y pasta,,100,gr,174.0,4.5,37.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
,Atún claro al natural,Pescados,Hacendado,100,gr,116.0,25.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Comida / cena,Fuente: base original de Alzum.,True
